Title,Platform,Type,Firstposted,Lastposted,Rating,Numposts
Wolfenstein: The New Order,PC,Main game,2016-01-02T15:10:55-08:00,2016-01-02T15:10:55-08:00,Awesome,1
Her Story,PC,Main game,2016-01-03T10:22:11-08:00,2016-01-03T10:22:11-08:00,Good,1
Prelogate,PC,Main game,2016-01-04T23:17:04-08:00,2016-01-04T23:17:04-08:00,Meh,1
Wolfenstein: The Old Blood,PC,Standalone expansion,2016-01-07T00:27:58-08:00,2016-01-07T00:27:58-08:00,Meh,1
Words for Evil,PC,Main game,2016-01-09T16:11:52-08:00,2016-01-09T16:11:52-08:00,Bad,1
Mad Max (2015),PC,Main game,2016-01-11T23:15:30-08:00,2016-01-16T15:09:56-08:00,Meh,2
The Vanishing of Ethan Carter,PC,Main game,2016-01-17T20:50:22-08:00,2016-01-17T20:50:22-08:00,Bad,1
Grow Home,PC,Main game,2016-01-18T22:27:29-08:00,2016-01-18T22:27:29-08:00,Meh,1
Shadow Warrior (2013),PC,Main game,2016-01-19T19:53:30-08:00,2016-01-19T19:53:30-08:00,Meh,1
Galacide,PC,Main game,2016-01-20T21:48:08-08:00,2016-01-20T21:48:08-08:00,Meh,1
Toren,PC,Main game,2016-01-24T22:44:02-08:00,2016-01-24T22:44:02-08:00,Bad,1
Last Word,PC,Main game,2016-01-26T22:43:27-08:00,2016-01-26T22:43:27-08:00,Good,1
INK,PC,Main game,2016-01-26T23:51:06-08:00,2016-01-26T23:51:06-08:00,N/A,1
The Witness (2016),PC,Main game,2016-02-01T22:21:00-08:00,2016-02-06T16:28:08-08:00,Awesome,2
Batman: Arkham Origins Blackgate,PC,Main game,2016-02-08T20:53:22-08:00,2016-02-08T20:53:22-08:00,Awful,1
Murdered: Soul Suspect,PC,Main game,2016-02-09T22:03:40-08:00,2016-02-09T22:03:40-08:00,Meh,1
The Wolf Among Us,PC,Main game,2016-02-15T21:16:35-08:00,2016-02-15T21:16:35-08:00,Good,1
Batman: Arkham Asylum,PC,Main game,2016-02-28T18:23:46-08:00,2016-02-28T18:23:46-08:00,N/A,1
Bear Simulator,PC,Main game,2016-03-10T20:50:10-08:00,2016-03-10T20:50:10-08:00,Bad,1
Aviary Attorney,PC,Main game,2016-03-14T18:41:39-07:00,2016-03-14T18:41:39-07:00,Good,1
Hyper Light Drifter,PC,Main game,2016-04-03T12:26:58-07:00,2016-04-03T12:26:58-07:00,Good,1
Uncharted: Drake's Fortune,PS4,Main game,2016-04-03T12:27:02-07:00,2016-04-03T12:27:02-07:00,Bad,1
My Nintendo Picross: The Legend of Zelda: Twilight Princess,3DS,Main game,2016-04-16T16:24:23-07:00,2016-04-16T16:24:23-07:00,Awesome,1
Pok&eacute;mon Picross,3DS,Main game,2016-04-16T16:24:28-07:00,2016-04-16T16:24:28-07:00,Awful,1
Job Simulator: The 2050 Archives,PC,Main game,2016-04-24T15:11:38-07:00,2016-04-24T15:11:38-07:00,Good,1
Uncharted: Fortune Hunter,Android,Main game,2016-05-13T15:03:36-07:00,2016-05-13T15:03:36-07:00,Meh,1
Uncharted 4: A Thief's End,PS4,Main game,2016-05-13T15:03:40-07:00,2016-05-23T23:48:17-07:00,Awesome,2
Remember Me,PC,Main game,2016-05-23T23:48:22-07:00,2016-06-12T15:16:14-07:00,Bad,2
GemCraft - Chasing Shadows,PC,Main game,2016-08-14T16:31:07-07:00,2016-08-14T16:31:07-07:00,Meh,1
Pony Island,PC,Main game,2016-08-15T23:29:10-07:00,2016-08-15T23:29:10-07:00,Bad,1
Deus Ex: Mankind Divided,PC,Main game,2016-08-24T22:05:10-07:00,2016-09-25T09:46:28-07:00,Good,3
Monkey Wrench,Android,Main game,2016-09-25T09:46:25-07:00,2016-12-27T23:36:04-08:00,Good,2
LEGO Marvel's Avengers,PC,Main game,2016-12-27T23:36:04-08:00,2016-12-27T23:36:04-08:00,Meh,1
The Jackbox Party Pack 3,PC,Main game,2016-12-27T23:36:04-08:00,2016-12-27T23:36:04-08:00,Awesome,1
Lovers in a Dangerous Spacetime,PC,Main game,2016-12-27T23:36:04-08:00,2016-12-27T23:36:04-08:00,Good,1
Phrase Shift,Android,Main game,2016-12-27T23:36:04-08:00,2016-12-27T23:36:04-08:00,Meh,1
BioShock Remastered,PC,Main game,2016-12-27T23:36:04-08:00,2016-12-27T23:36:04-08:00,Good,1
The Last of Us Remastered,PS4,Main game,2016-12-27T23:36:05-08:00,2016-12-27T23:36:05-08:00,Meh,1
Until Dawn,PS4,Main game,2016-12-27T23:36:05-08:00,2016-12-27T23:36:05-08:00,Meh,1
The Elder Scrolls V: Skyrim Special Edition,PC,Main game,2016-12-28T17:40:58-08:00,2016-12-28T17:40:58-08:00,Awesome,1
The Elder Scrolls V: Skyrim - Dawnguard,PC,DLC / Addon,2016-12-28T17:41:02-08:00,2016-12-28T17:41:02-08:00,Awesome,1
The Elder Scrolls V: Skyrim - Hearthfire,PC,DLC / Addon,2016-12-28T17:41:06-08:00,2016-12-28T17:41:06-08:00,Good,1
The Elder Scrolls V: Skyrim - Dragonborn,PC,DLC / Addon,2016-12-28T17:41:09-08:00,2016-12-28T17:41:09-08:00,Awesome,1
Batman: The Telltale Series,PC,Main game,2016-12-29T17:37:49-08:00,2016-12-29T17:37:49-08:00,Meh,1
TIS-100,PC,Main game,2016-12-30T17:40:14-08:00,2016-12-30T17:40:14-08:00,Awesome,1
