Tag,Count
Single player,74
Main game,61
Action,43
Adventure,41
Indie,38
Science fiction,30
Role-playing (RPG),29
Puzzle,23
Co-operative,22
Multiplayer,22
First person,22
Third person,19
Fantasy,18
Shooter,17
DLC / Addon,15
Comedy,14
Side view,13
Platform,13
Bird view,11
Borderlands,11
2K Games,10
Gearbox Software,10
Text,9
Strategy,9
Open world,8
Simulator,7
Historical,7
Point-and-click,6
Sandbox,6
Horror,6
Nintendo,5
Bioshock,4
Ace Attorney,4
Capcom,4
Matthew Brown,3
Zachtronics,3
Irrational Games,3
Hexcells,3
Drama,3
Thriller,2
Triptych Games,2
Educational,2
Aspyr Media,2
Plug In Digital,2
The Legend of Zelda,2
Glassmoon,2
Turn-based strategy (TBS),2
Stealth,2
Nintendo of America,2
Nintendo of Europe,2
Nintendo EPD,2
Ubisoft Entertainment,2
Split screen,2
Ubisoft Montreal,2
Microsoft Studios,2
Mystery,2
Hack and slash/Beat 'em up,2
Sony Interactive Entertainment,1
Massively Multiplayer Online (MMO),1
PQube,1
Grey Alien Games,1
Party,1
GREZZO Co.,Ltd.,1
Take-Two Interactive,1
Red Dead Redemption,1
Cape Guy,1
Electronic Arts,1
CIRCLE Entertainment,1
Team 17,1
4X (explore, expand, exploit, and exterminate),1
Fishing Cactus,1
Capcom Co., Ltd.,1
Space Run,1
Butterscotch Shenanigans,1
The Gentlebros Pte. Ltd.,1
Press Play,1
Prince of Persia,1
Rockstar North,1
Neko Entertainment,1
Nintendo EAD Tokyo,1
Moon Studios GmbH,1
Bethesda Softworks LLC,1
Splashteam,1
Mario & Luigi,1
505 Games,1
ViWo Games,1
2K Marin,1
Mass Effect,1
The Sidekicks,1
The Elder Scrolls,1
Hexecutable,1
Naughty Dog,1
SFB Games,1
Drizzly Bear,1
BioWare Montreal,1
inkle,1
Blizzard Entertainment,1
Danganronpa,1
My Dog Zorro,1
Pushmo,1
Goodwolf Studio,1
Ōkami,1
Sport,1
NIS America,1
Devolver Digital,1
Survival,1
Darksiders,1
No Code,1
Night School Studio,1
Indietopia Games,1
Playtonic,1
Sierra,1
Thing Trunk,1
SCEA - duplicate,1
Standalone expansion,1
Blind Squirrel Games,1
Spearhead Games,1
Flying Helmet Games,1
THQ Nordic,1
Telltale Games,1
Bethesda Game Studios,1
Rock Pocket Games,1
Double Damage Games,1
AlphaDream,1
Focus Home Interactive,1
Duang! Games, LLC,1
Square Enix,1
Rockstar Games,1
Diablo,1
Uncharted,1
Clover Studio,1
SMG Studio,1
Intelligent Systems Co., Ltd.,1
Rockstar San Diego,1
Ripatti Software,1
Sony Computer Entertainment, Inc. (SCEI),1
Virtual Programming,1
Spike ChunSoft,1
Ori,1
Super Mario,1
