Tag,Count
Single player,106
Main game,104
Action,74
Indie,69
Adventure,57
Puzzle,38
Side view,37
Science fiction,35
Platform,34
Fantasy,29
Multiplayer,29
Co-operative,25
Third person,24
Role-playing (RPG),22
Bird view,21
Shooter,20
Comedy,17
Historical,17
First person,17
Strategy,16
Hack and slash/Beat 'em up,11
Stealth,10
Nintendo,9
Open world,7
Microsoft Studios,6
DLC / Addon,6
Racing,6
Sport,6
Turn-based strategy (TBS),5
Simulator,5
Text,5
Drama,5
Split screen,4
Point-and-click,4
Fighting,4
Ubisoft Montreal,4
Sandbox,4
Ubisoft Entertainment,4
Arcade,4
Horror,3
Music,3
Survival,3
Electronic Arts,3
Abstraction Games,3
Virtual Reality,3
Real Time Strategy (RTS),3
Devolver Digital,3
Kids,3
2K Games,3
Super Mario,2
Blizzard Entertainment,2
Arkane Studios,2
Plug In Digital,2
Merge Games,2
Kalypso Media,2
Bandai Namco Entertainment,2
Double Fine Productions,2
Massively Multiplayer Online (MMO),2
Ubisoft Quebec,2
Tactical,2
Klei Entertainment,2
Sora,2
WayForward Technologies Inc.,2
Curve Studios,2
Atlus,2
Thriller,2
Warfare,2
505 Games,2
Platinum Games,2
Ludosity,2
Super Smash Bros.,2
Dishonored,2
Grasshopper Manufacture,2
Bethesda Softworks LLC,2
Sega,2
Assassin's Creed,2
WB Games,2
Born Ready Games,1
Ubisoft Shanghai,1
Cartoon Network Games,1
Ntreev Soft,1
Armor Games,1
Northway Games,1
LookAtMyGame,1
Ubisoft Annecy,1
Meridian4,1
EasyGameStation,1
Deck 13,1
Level-5,1
Aspyr Media,1
Monolith Productions,1
Coffee Stain Studios,1
Starbreeze Studios,1
Zenith Blue,1
DTP Entertainment,1
Cloudbuilt,1
Nicklas Nygren,1
PixelJunk,1
Koei Tecmo Games Co., Ltd.,1
Mario Kart,1
Middle-earth,1
Freebird Games,1
X.D. Network Inc.,1
Ubisoft Reflections,1
Image & Form,1
Civilization,1
Soldak Entertainment,1
Iridium Studios,1
SCEE - duplicate,1
Bioshock,1
Shiro Games,1
Shank,1
D3 Publisher,1
Toki Tori,1
Diablo,1
TT Fusion,1
Rising Star Games,1
TreeFortress Games,1
Retro Affect,1
Sine Mora,1
Rain Games,1
Double Eleven,1
Easy Tiger Media,1
Cellar Door Games,1
Playdigious,1
Sega Superstars,1
Riot Games,1
Atlus USA,1
Digital Tribe,1
Epic Games, Inc.,1
Ironhide Game Studio,1
Guacamelee!,1
Tencent Holdings Ltd,1
W!Games,1
Non-fiction,1
Invictus Games Ltd,1
Midnight City,1
Watch Dogs,1
Croteam,1
Q-Games,1
Bithell Games,1
Studio Evil,1
Konami,1
IndiePub,1
The Behemoth,1
Digital Reality,1
Halo,1
Trine,1
NCsoft,1
Flyhigh Works,1
Teslagrad,1
Bedtime Digital Games,1
Colin Northway with art by Thomas Shahan,1
KISS ltd,1
Coilworks,1
Adult Swim Games,1
Standalone expansion,1
Snow Cannon Games,1
Mighty Switch Force,1
Professor Layton,1
Nintendo EAD Group No. 4,1
Alkemi,1
Warcraft,1
Mediatonic,1
BANDAI NAMCO Studios Inc.,1
Business,1
Strange Loop Games,1
Humble Hearts,1
Drinkbox Studios,1
Borderlands,1
Fullbright,1
Dejobaan Games, LLC,1
Avanquest Software Publishing,1
Vanguard Entertainment Group,1
Nintendo EAD Group No. 1,1
Far Cry,1
SCS Software,1
SCEA - duplicate,1
Card City Nights,1
Spike,1
Thomas Bowker,1
Spike ChunSoft,1
SOEDESCO Publishing,1
Mirror's Edge,1
Level Up Labs,1
Carpe Fulgur LLC,1
Defender's Quest,1
Mystery,1
Defense of the Ancients,1
GOA Games Services Ltd.,1
TopWare Interactive,1
Faber and Faber,1
BulkyPix,1
Kingdom Rush,1
EA Digital Illusions CE,1
Facepalm Games,1
Two Tribes B.V.,1
Aural,1
CIRCLE Entertainment,1
24 Caret Games,1
Ittle Dew,1
XSEED Games,1
Uppercut Games Pty Ltd,1
Focus Home Interactive,1
Sony Computer Entertainment, Inc. (SCEI),1
Mistbound,1
Party,1
Analogue: A Hate Story,1
X-Plane,1
Tribute Games,1
Wadjet Eye Games,1
Drox Operative,1
Smudged Cat Games,1
Kreatoriet AB,1
Ubisoft Kiev,1
Vanguard Entertainment,1
Entheogen Studios LLC,1
Erotic,1
The Story Mechanics,1
Ubisoft Massive,1
Quantized Bit,1
The Legend of Zelda,1
Minority,1
Nintendo EAD Tokyo,1
Ivy Games,1
Gone North Games,1
To the Moon,1
Quiz/Trivia,1
Metal Gear Rising,1
Intergrow,1
Saints Row,1
Strike Suit,1
LEGO,1
Valcon Games,1
Storybird,1
Curve Digital,1
Euro Truck Simulator,1
Tequila Works,1
Frozenbyte,1
Donkey Kong,1
Activision,1
Gearbox Software,1
Deep Silver,1
People Can Fly,1
ThatGameCompany,1
IronMonkey Studios,1
Evoland,1
Headlock,1
AGM Playism,1
Firaxis Games,1
Expansion,1
Retro Studios,1
I-Illusions,1
Nintendo of Europe,1
Square Enix,1
Stealth Bastard,1
ZootFly,1
Necrophone Games,1
D-Pad Studio,1
Irrational Games,1
SteamWorld,1
343 Industries,1
Love Conquers All Games,1
Ubisoft Singapore,1
lucas pope,1
Carbine Studios,1
Frogwares,1
EA Mobile,1
4X (explore, expand, exploit, and exterminate),1
Adventure Time,1
Free Lives Games,1
Valve Corporation,1
Sumo Digital,1
EightyEightGames,1
Capcom,1
Nordic Games Publishing,1
Zero Rock Entertainment,1
