Title,Platform,Type,Firstposted,Lastposted,Rating,Numposts
Snake Pass,PC,Main game,2020-01-02T21:29:51-08:00,2020-01-02T21:29:51-08:00,Meh,1
Pinstripe,PC,Main game,2020-01-10T19:38:01-08:00,2020-01-10T19:38:01-08:00,Bad,1
VVVVVV,PC,Main game,2020-01-10T23:35:39-08:00,2020-01-10T23:35:39-08:00,Good,1
forma.8,PC,Main game,2020-01-12T10:03:29-08:00,2020-01-12T10:03:29-08:00,Meh,1
Mr. Shifty,PC,Main game,2020-01-13T07:41:03-08:00,2020-01-13T07:41:03-08:00,Good,1
Why Am I Dead At Sea,PC,Main game,2020-01-13T21:02:47-08:00,2020-01-13T21:02:47-08:00,Meh,1
Cosmic Star Heroine,PC,Main game,2020-01-18T12:59:18-08:00,2020-01-18T12:59:18-08:00,Meh,1
Lightmatter,PC,Main game,2020-01-18T13:27:05-08:00,2020-01-18T13:27:05-08:00,N/A,1
Prime Mover,PC,Main game,2020-01-18T17:13:49-08:00,2020-01-18T17:13:49-08:00,Meh,1
Algo Bot,PC,Main game,2020-01-20T09:06:41-08:00,2020-01-20T09:06:41-08:00,Bad,1
Five: Guardians of David,PC,Main game,2020-01-20T12:28:00-08:00,2020-01-20T12:28:00-08:00,N/A,1
Age of Wonders III,PC,Main game,2020-01-25T17:16:46-08:00,2020-01-25T17:16:46-08:00,N/A,1
Furi,PC,Main game,2020-02-01T11:01:26-08:00,2020-02-01T11:01:26-08:00,Awful,1
Spooky Cats,PC,Main game,2020-02-02T09:47:56-08:00,2020-02-02T09:47:56-08:00,Awful,1
Stories: The Path of Destinies,PC,Main game,2020-02-07T21:33:06-08:00,2020-02-07T21:33:06-08:00,Good,1
The Pedestrian,PC,Main game,2020-02-09T12:58:39-08:00,2020-02-09T12:58:39-08:00,N/A,1
Voxelgram,PC,Main game,2020-02-09T14:41:56-08:00,2020-02-09T14:41:56-08:00,N/A,1
VA-11 HALL-A: Cyberpunk Bartender Action,PC,Main game,2020-02-19T08:03:34-08:00,2020-02-19T08:03:34-08:00,Meh,1
Pictopix,PC,Main game,2020-03-01T11:59:34-08:00,2020-03-01T11:59:34-08:00,Awesome,1
DREAMO,PC,Main game,2020-03-01T12:14:10-08:00,2020-03-01T12:14:10-08:00,N/A,1
