Title,Platform,Type,Firstposted,Lastposted,Rating,Numposts
"Khimera: Puzzle Island",PC,Main game,2022-01-09T20:52:37-08:00,2022-01-09T20:52:37-08:00,Good,1
"South Park: The Stick of Truth",PC,Main game,2022-01-22T13:21:26-08:00,2022-01-22T13:21:26-08:00,Good,1
"South Park: The Fractured But Whole",PC,Main game,2022-01-30T14:40:09-08:00,2022-01-30T14:40:09-08:00,Good,1
"South Park: The Fractured But Whole - From Dusk Till Casa Bonita",PC,DLC / Addon,2022-02-05T11:24:28-08:00,2022-02-05T11:24:28-08:00,Good,1
"South Park: The Fractured But Whole - Bring The Crunch",PC,DLC / Addon,2022-02-05T11:29:44-08:00,2022-02-05T11:29:44-08:00,Good,1
"Chroma Squad",PC,Main game,2022-02-19T21:55:01-08:00,2022-02-19T21:55:01-08:00,Good,1
"It Takes Two",PC,Main game,2022-02-20T18:27:20-08:00,2022-02-20T18:27:20-08:00,Good,1
"Stealth Inc 2: A Game of Clones",PC,Main game,2022-02-20T19:56:36-08:00,2022-02-20T19:56:36-08:00,Meh,1
"Evoland 2",PC,Main game,2022-02-21T12:46:33-08:00,2022-02-21T12:46:33-08:00,Bad,1
"Burn Me Twice",PC,Main game,2022-03-12T13:57:50-08:00,2022-03-12T13:57:50-08:00,Meh,1
"Cat Quest II",PC,Main game,2022-03-13T16:56:21-07:00,2022-03-13T16:56:21-07:00,Good,1
"Horizon Forbidden West",PS4,Main game,2022-04-09T12:38:42-07:00,2022-04-09T12:38:42-07:00,Awesome,1
"Hob",PC,Main game,2022-04-09T18:39:50-07:00,2022-04-09T18:39:50-07:00,Meh,1
"Assassin's Creed IV: Black Flag",PC,Main game,2022-04-17T14:05:35-07:00,2022-04-17T14:05:35-07:00,Good,1
"Star Wars Jedi: Fallen Order",PC,Main game,2022-05-28T11:48:00-07:00,2022-05-28T11:48:00-07:00,Meh,1
"Transistor",PC,Main game,2022-06-12T12:59:00-07:00,2022-06-12T12:59:00-07:00,Good,1
"Lair of the Clockwork God",PC,Main game,2022-06-12T18:33:28-07:00,2022-06-12T18:33:28-07:00,N/A,1
"DEATHLOOP",PC,Main game,2022-06-26T12:02:38-07:00,2022-09-24T16:02:14-07:00,Good,2
"Untitled Goose Game",PC,Main game,2022-06-26T14:06:59-07:00,2022-06-26T14:06:59-07:00,Meh,1
"Batbarian: Testament of the Primordials",PC,Main game,2022-07-03T11:54:02-07:00,2022-07-03T11:54:02-07:00,Meh,1
"Katana ZERO",PC,Main game,2022-07-04T11:33:59-07:00,2022-07-04T11:33:59-07:00,Good,1
"Rebel Galaxy Outlaw",PC,Main game,2022-07-10T13:39:20-07:00,2022-07-10T13:39:20-07:00,N/A,1
"Outer Wilds",PC,Main game,2022-07-24T14:06:21-07:00,2022-07-24T14:06:21-07:00,Good,1
"Omensight: Definitive Edition",PC,Main game,2022-08-06T11:19:46-07:00,2022-08-06T11:19:46-07:00,Good,1
"Marvel's Guardians of the Galaxy",PC,Main game,2022-08-20T14:27:19-07:00,2022-08-20T14:27:19-07:00,Awesome,1
"Baba is You",PC,Main game,2022-08-21T14:14:19-07:00,2022-08-21T14:14:19-07:00,Good,1
"Elsinore",PC,Main game,2022-09-04T13:02:55-07:00,2022-09-04T13:02:55-07:00,Good,1
"Titanfall 2",PC,Main game,2022-09-11T13:49:55-07:00,2022-09-11T13:49:55-07:00,Good,1
"Tacoma",PC,Main game,2022-09-12T10:47:02-07:00,2022-09-12T10:47:02-07:00,Good,1
"Gears of War 4",PC,Main game,2022-09-14T11:52:05-07:00,2022-09-14T11:52:05-07:00,Good,1
"Gears 5",PC,Main game,2022-09-17T14:25:26-07:00,2022-09-17T14:25:26-07:00,Meh,1
"The Forgotten City",PC,Main game,2022-09-18T14:36:24-07:00,2022-09-18T14:36:24-07:00,Good,1
"Control",PC,Main game,2022-10-22T21:41:11-07:00,2022-10-22T21:41:11-07:00,Awesome,1
"Control: The Foundation",PC,Expansion,2022-10-30T14:31:13-07:00,2022-10-30T14:31:13-07:00,Awesome,1
"Control: AWE",PC,Expansion,2022-10-30T15:14:05-07:00,2022-10-30T15:14:05-07:00,Awesome,1
"The Witcher 3: Wild Hunt",PC,Main game,2022-12-16T01:43:42-08:00,2022-12-16T01:43:42-08:00,Awesome,1
"The Witcher 3: Wild Hunt - Hearts of Stone",PC,Expansion,2022-12-16T01:43:42-08:00,2022-12-16T01:43:42-08:00,Awesome,1
