Title,Platform,Type,Firstposted,Lastposted,Rating,Numposts
Black Mirror: Bandersnatch,Netflix,N/A,2019-01-04T07:31:19-08:00,2019-01-04T07:31:19-08:00,Good,1
The Last Guardian,PS4,Main game,2019-02-05T21:26:46-08:00,2019-02-05T21:26:46-08:00,Meh,1
Super Smash Bros. Ultimate,Switch,Main game,2019-02-08T18:45:38-08:00,2019-02-08T18:45:38-08:00,Meh,1
The Legend of Zelda: Breath of the Wild,Switch,Main game,2019-02-10T18:26:25-08:00,2019-02-10T18:26:25-08:00,Awesome,1
The Legend of Zelda: Breath of the Wild - The Master Trials,Switch,DLC / Addon,2019-02-16T14:25:35-08:00,2019-02-16T14:25:35-08:00,Bad,1
The Legend of Zelda: Breath of the Wild - The Champions' Ballad,Switch,DLC / Addon,2019-02-17T21:11:56-08:00,2019-02-17T21:11:56-08:00,Good,1
Crackdown 3,Xbox One,Main game,2019-02-25T22:08:04-08:00,2019-02-25T22:08:04-08:00,Good,1
Super Mario Party,Switch,Main game,2019-03-03T12:54:38-08:00,2019-03-03T12:54:38-08:00,N/A,1
The Textorcist,PC,Main game,2019-03-03T13:23:53-08:00,2019-03-03T13:23:53-08:00,N/A,1
NITE Team 4,PC,Main game,2019-03-03T13:49:11-08:00,2019-03-03T13:49:11-08:00,Meh,1
Transformers: Devastation,PC,Main game,2019-04-28T12:18:59-07:00,2019-04-28T12:18:59-07:00,Meh,1
Phoenix Wright: Ace Attorney Trilogy,PC,Bundle,2019-04-28T12:48:20-07:00,2019-06-09T09:25:50-07:00,Awesome,3
Yoku's Island Express,PC,Main game,2019-04-28T13:00:10-07:00,2019-04-28T13:00:10-07:00,N/A,1
Grapple Force Rena,PC,Main game,2019-04-28T13:20:34-07:00,2019-04-28T13:20:34-07:00,N/A,1
Red Spider 2: Exiled,PC,Main game,2019-05-18T15:52:41-07:00,2019-05-18T15:52:41-07:00,N/A,1
Cube Escape: Paradox,PC,Main game,2019-05-19T10:34:12-07:00,2019-05-19T10:34:12-07:00,Meh,1
What Never Was,PC,Main game,2019-05-25T15:23:32-07:00,2019-05-25T15:23:32-07:00,Good,1
Hacknet,PC,Main game,2019-06-15T15:51:49-07:00,2019-06-15T15:51:49-07:00,Good,1
Hacknet - Labyrinths,PC,DLC / Addon,2019-06-16T13:05:58-07:00,2019-06-16T13:05:58-07:00,Awesome,1
Bloodstained: Ritual of the Night,PC,Main game,2019-06-30T10:43:56-07:00,2019-06-30T10:43:56-07:00,Good,1
Borderlands 2: Commander Lilith and the Fight for Sanctuary,PC,DLC / Addon,2019-07-03T07:37:07-07:00,2019-07-03T07:37:07-07:00,Meh,1
Battle Chef Brigade,PC,Main game,2019-07-07T09:43:13-07:00,2019-07-07T09:43:13-07:00,Good,1
Depixtion,PC,Main game,2019-07-13T12:01:28-07:00,2019-07-13T12:01:28-07:00,N/A,1
Qora,PC,Main game,2019-08-23T19:56:49-07:00,2019-08-23T19:56:49-07:00,Bad,1
Prismata,PC,Main game,2019-08-23T21:51:40-07:00,2019-08-23T21:51:40-07:00,Meh,1
Spider-Man (2018),PS4,Main game,2019-08-24T17:28:06-07:00,2019-08-24T17:28:06-07:00,Good,1
Mark of the Ninja Remastered,PC,Main game,2019-08-25T08:46:37-07:00,2019-08-25T08:46:37-07:00,Good,1
The Saboteur,PC,Main game,2019-09-08T14:47:56-07:00,2019-09-08T14:47:56-07:00,Good,1
Hollow Knight,PC,Main game,2019-10-06T11:16:27-07:00,2019-10-06T11:16:27-07:00,Good,1
Chrono Trigger,PC,Main game,2019-10-06T11:45:12-07:00,2019-11-03T21:40:57-08:00,Awesome,2
Neo Cab,PC,Main game,2019-10-12T22:51:06-07:00,2019-10-12T22:51:06-07:00,N/A,1
Mindustry,PC,Main game,2019-10-12T23:20:51-07:00,2019-10-12T23:20:51-07:00,N/A,1
Mars Power Industries Deluxe,PC,Main game,2019-11-10T10:20:51-08:00,2019-11-10T10:20:51-08:00,Meh,1
Roombo: First Blood,PC,Main game,2019-11-10T10:42:26-08:00,2019-11-10T10:42:26-08:00,Meh,1
EXAPUNKS,PC,Main game,2019-11-16T10:05:05-08:00,2019-12-25T13:29:23-08:00,Awesome,2
Tales of Lazo,PC,Main game,2019-11-17T10:18:02-08:00,2019-11-17T10:18:02-08:00,N/A,1
Open World Game: the Open World Game,PC,N/A,2019-11-24T09:35:16-08:00,2019-11-24T09:35:16-08:00,Good,1
Indivisible,PC,Main game,2019-12-08T19:08:42-08:00,2019-12-08T19:08:42-08:00,Good,1
Rime,PC,Main game,2019-12-17T21:16:13-08:00,2019-12-17T21:16:13-08:00,Meh,1
Gato Roboto,PC,Main game,2019-12-27T10:04:57-08:00,2019-12-27T10:04:57-08:00,Meh,1
The Sexy Brutale,PC,Main game,2019-12-31T10:39:08-08:00,2019-12-31T10:39:08-08:00,Good,1
