Title,Platform,Type,Firstposted,Lastposted,Rating,Numposts
"The Witcher 3: Wild Hunt - Blood and Wine",PC,Expansion,2023-01-16T16:26:46.0000000-08:00,2023-01-16T16:26:46.0000000-08:00,Awesome,1
"Disco Elysium: The Final Cut",PC,Expanded Game,2023-02-11T11:54:05.0000000-08:00,2023-02-25T15:51:50.0000000-08:00,Awesome,2
"Return of the Obra Dinn",PC,Main game,2023-03-19T20:44:40.0000000-07:00,2023-03-19T20:44:40.0000000-07:00,Bad,1
"Midnight Protocol",PC,Main game,2023-04-01T13:51:55.0000000-07:00,2023-04-01T13:51:55.0000000-07:00,N/A,1
"The Outer Worlds",PC,Main game,2023-04-11T21:55:53.0000000-07:00,2023-04-11T21:55:53.0000000-07:00,Meh,1
"The Outer Worlds: Peril on Gorgon",PC,Expansion,2023-04-22T10:14:08.0000000-07:00,2023-04-22T10:14:08.0000000-07:00,Meh,1
"The Outer Worlds: Murder on Eridanos",PC,Expansion,2023-04-22T10:14:08.0000000-07:00,2023-04-22T10:14:08.0000000-07:00,Meh,1
"Outer Wilds: Echoes of the Eye",PC,DLC / Addon,2023-04-23T12:02:32.0000000-07:00,2023-04-23T12:02:32.0000000-07:00,Meh,1
"Cyberpunk 2077",PC,Main game,2023-06-04T22:56:36.0000000-07:00,2023-06-04T22:56:36.0000000-07:00,Good,1
"The Legend of Zelda: Tears of the Kingdom",Switch,Main game,2023-07-09T21:29:24.0000000-07:00,2023-07-09T21:29:24.0000000-07:00,Awesome,1
"Middle-earth: Shadow of Mordor",PC,Main game,2023-07-23T13:27:13.0000000-07:00,2023-07-23T13:27:13.0000000-07:00,Good,1
"Middle-earth: Shadow of Mordor - Lord of the Hunt",PC,DLC / Addon,2023-07-23T13:27:13.0000000-07:00,2023-07-23T13:27:13.0000000-07:00,Good,1
"Middle-earth: Shadow of Mordor - The Bright Lord",PC,DLC / Addon,2023-07-23T13:27:13.0000000-07:00,2023-07-23T13:27:13.0000000-07:00,Good,1
"The Talos Principle II",PC,Main game,2023-10-29T15:02:17.3041163-07:00,2023-10-29T15:02:17.3041163-07:00,N/A,1
"Middle-earth: Shadow of War",PC,Main game,2023-11-05T19:54:35.4798071-08:00,2023-11-05T19:54:35.4798071-08:00,Awesome,1
"Middle-earth: Shadow of War - The Blade of Galadriel",PC,Expansion,2023-11-19T14:16:09.9709292-08:00,2023-11-19T14:16:09.9709292-08:00,Good,1
"Middle-earth: Shadow of War - Desolation of Mordor",PC,Expansion,2023-12-18T12:44:51.6751577-08:00,2023-12-18T12:44:51.6751577-08:00,Good,1
"Last Call BBS",PC,Main game,2023-12-20T16:37:47.1274024-08:00,2023-12-20T16:37:47.1274024-08:00,Meh,1
"A Way Out",PC,Main game,2023-12-21T22:42:31.7643954-08:00,2023-12-21T22:42:31.7643954-08:00,Meh,1
"Eternal Threads",PC,Main game,2023-12-22T12:49:43.3422891-08:00,2023-12-22T12:49:43.3422891-08:00,Meh,1
