Title,Platform,Type,Firstposted,Lastposted,Rating,Numposts
"Dave the Diver",PC,Main game,2024-01-14T23:54:29.5546599-08:00,2024-01-14T23:54:29.5546599-08:00,Good,1
"Uncharted 4: A Thief's End - Remastered",PC,Remaster,2024-01-28T12:32:32.3568247-08:00,2024-01-28T12:32:32.3568247-08:00,Awesome,1
"Uncharted: The Lost Legacy - Remastered",PC,Remaster,2024-01-28T12:32:32.3568247-08:00,2024-01-28T12:32:32.3568247-08:00,Awesome,1
"Apollo Justice: Ace Attorney (2024)",PC,Remaster,2024-03-02T21:41:50.3145683-08:00,2024-03-02T21:41:50.3145683-08:00,Good,1
"The Talos Principle II",PC,Main game,2024-03-10T15:01:40.0485420-07:00,2024-03-10T15:01:40.0485420-07:00,Awesome,1
"Phoenix Wright: Ace Attorney - Dual Destinies (2024)",PC,Remaster,2024-04-13T17:02:12.8054381-07:00,2024-04-13T17:02:12.8054381-07:00,Good,1
"Phoenix Wright: Ace Attorney - Spirit of Justice (2024)",PC,Remaster,2024-05-08T19:14:19.3118799-07:00,2024-05-08T19:14:19.3118799-07:00,Awesome,1
"Saints Row (2022)",PC,Main game,2024-05-12T18:26:23.6107092-07:00,2024-05-12T18:26:23.6107092-07:00,Meh,1
"Saints Row: The Heist & The Hazardous",PC,DLC / Addon,2024-05-12T18:26:23.6107092-07:00,2024-05-12T18:26:23.6107092-07:00,Meh,1
"Saints Row: A Song of Ice & Dust",PC,DLC / Addon,2024-05-12T18:26:23.6107092-07:00,2024-05-12T18:26:23.6107092-07:00,Meh,1
"Voxelgram",PC,Main game,2024-07-28T08:20:09.0046735-07:00,2024-07-28T08:20:09.0046735-07:00,Awesome,1
"Voxelgram: DLC #1 (Linux, PC)",PC,DLC / Addon,2024-07-28T08:20:09.0046735-07:00,2024-07-28T08:20:09.0046735-07:00,Awesome,1
"Horizon Forbidden West",PC,Main game,2024-08-04T17:13:24.4732595-07:00,2024-08-04T17:13:24.4732595-07:00,Awesome,1
"Horizon Forbidden West: Burning Shores",PC,Expansion,2024-08-04T17:13:24.4732595-07:00,2024-08-04T17:13:24.4732595-07:00,Awesome,1
"Palworld",PC,Main game,2024-08-25T12:42:21.0304559-07:00,2024-08-25T12:42:21.0304559-07:00,Good,1
"Tactical Breach Wizards",PC,Main game,2024-09-07T15:13:48.1665504-07:00,2024-09-07T15:13:48.1665504-07:00,N/A,1
"Baldur's Gate 3",PC,Main game,2024-09-07T20:24:02.1223536-07:00,2024-11-16T23:31:08.3838740-08:00,Awesome,2
"Stormgate",PC,Main game,2024-09-13T11:06:04.8926014-07:00,2024-09-13T11:06:04.8926014-07:00,N/A,1
"NieR: Automata",PC,Main game,2024-09-15T15:57:17.6387511-07:00,2024-09-15T15:57:17.6387511-07:00,Meh,1
"Castlevania: Circle of the Moon (2021)",PC,Port,2024-09-29T12:44:14.6885146-07:00,2024-09-29T12:44:14.6885146-07:00,N/A,1
"Castlevania: Harmony of Dissonance (2021)",PC,Port,2024-09-29T12:44:14.6885146-07:00,2024-09-29T12:44:14.6885146-07:00,N/A,1
"Castlevania: Aria of Sorrow (2021)",PC,Port,2024-09-29T15:29:48.4673278-07:00,2024-09-29T15:29:48.4673278-07:00,Good,1
"No Man's Sky",PC,Main game,2024-10-20T11:55:10.9854241-07:00,2024-10-20T11:55:10.9854241-07:00,Meh,1
"Castlevania: Dawn of Sorrow (2024)",PC,Port,2024-11-03T13:17:56.2810621-08:00,2024-11-03T13:17:56.2810621-08:00,Good,1
"The Case of the Golden Idol",PC,Main game,2024-11-18T08:53:12.5229292-08:00,2024-11-18T08:53:12.5229292-08:00,N/A,1
"The Rise of the Golden Idol",PC,Main game,2024-11-18T08:53:12.5229292-08:00,2024-11-18T08:53:12.5229292-08:00,N/A,1
"Cat Quest III",PC,Main game,2024-11-29T09:02:40.6392283-08:00,2024-11-29T09:02:40.6392283-08:00,Good,1
"Castlevania: Portrait of Ruin (2024)",PC,Port,2024-12-01T15:23:27.2794447-08:00,2024-12-01T15:23:27.2794447-08:00,Meh,1
"Castlevania: Order of Ecclesia (2024)",PC,Port,2024-12-07T16:42:07.1876138-08:00,2024-12-07T16:42:07.1876138-08:00,Meh,1
"Ara: History Untold",PC,Main game,2024-12-08T11:45:14.5229643-08:00,2024-12-08T11:45:14.5229643-08:00,N/A,1
"God of War (2018)",PC,Main game,2024-12-27T11:52:23.3546540-08:00,2024-12-27T11:52:23.3546540-08:00,Awesome,1
"Logiart Grimoire",PC,Main game,2024-12-31T15:27:39.4962915-08:00,2024-12-31T15:27:39.4962915-08:00,Good,1
