Title,Platform,Type,Firstposted,Lastposted,Rating,Numposts
Hexcells,PC,Main game,2017-01-14T12:18:51-08:00,2017-01-14T12:18:51-08:00,Meh,1
Hexcells Plus,PC,Main game,2017-01-14T12:18:55-08:00,2017-01-14T12:18:55-08:00,Good,1
Hexcells Infinite,PC,Main game,2017-01-14T12:18:58-08:00,2017-01-14T12:18:58-08:00,Good,1
The Elder Scrolls V: Skyrim Special Edition,PC,Main game,2017-02-04T11:33:18-08:00,2017-02-04T11:33:18-08:00,Awesome,1
Sethian,PC,Main game,2017-02-04T15:31:22-08:00,2017-02-04T15:31:22-08:00,Meh,1
80 Days,PC,Main game,2017-02-04T19:42:56-08:00,2017-02-04T19:42:56-08:00,Meh,1
Another Perspective,PC,Main game,2017-02-04T22:09:35-08:00,2017-02-04T22:09:35-08:00,Meh,1
Space Run,PC,Main game,2017-02-05T13:21:48-08:00,2017-02-05T13:21:48-08:00,Meh,1
Detective Grimoire,PC,Main game,2017-02-07T18:06:09-08:00,2017-02-07T18:06:09-08:00,Meh,1
hackmud,PC,Main game,2017-02-11T17:17:45-08:00,2017-02-11T17:17:45-08:00,N/A,1
Eon Altar,PC,Main game,2017-02-11T17:17:48-08:00,2017-02-11T17:17:48-08:00,Bad,1
Rebel Galaxy,PC,Main game,2017-02-18T15:49:55-08:00,2017-02-18T15:49:55-08:00,Good,1
Oxenfree,PC,Main game,2017-02-19T14:12:40-08:00,2017-02-19T14:12:40-08:00,Good,1
The Legend of Zelda: Breath of the Wild,Wii U,Main game,2017-03-08T08:22:45-08:00,2017-03-16T01:42:53-07:00,Awesome,2
Crashmo,3DS,Main game,2017-04-04T23:12:22-07:00,2017-04-04T23:12:22-07:00,Meh,1
Phoenix Wright: Ace Attorney - Spirit of Justice,3DS,Main game,2017-04-07T10:42:28-07:00,2017-04-07T10:42:28-07:00,Good,1
Phoenix Wright: Ace Attorney - Spirit of Justice - Phoenix Wright: Asinine Attorney,3DS,DLC / Addon,2017-04-07T14:49:41-07:00,2017-04-07T14:49:41-07:00,Awful,1
Phoenix Wright: Ace Attorney - Spirit of Justice - Apollo Justice: Asinine Attorney,3DS,DLC / Addon,2017-04-07T14:49:44-07:00,2017-04-07T14:49:44-07:00,Awful,1
Phoenix Wright: Ace Attorney - Spirit of Justice - Turnabout Time Traveler,3DS,DLC / Addon,2017-04-08T13:02:28-07:00,2017-04-08T13:02:28-07:00,Good,1
Yooka-Laylee,PC,Main game,2017-04-13T19:32:21-07:00,2017-05-07T22:31:27-07:00,Bad,2
Epistory,PC,Main game,2017-05-07T22:36:03-07:00,2017-05-07T22:36:03-07:00,Good,1
Red Dead Redemption,Xbox One,Main game,2017-05-07T22:37:59-07:00,2017-05-07T22:37:59-07:00,Meh,1
Beglitched,PC,Main game,2017-05-14T18:12:22-07:00,2017-05-14T18:12:22-07:00,Meh,1
Regency Solitaire,PC,Main game,2017-05-21T12:10:37-07:00,2017-05-21T12:10:37-07:00,Bad,1
Crashlands,PC,Main game,2017-05-21T16:40:33-07:00,2017-05-21T16:40:33-07:00,Meh,1
Great Permutator,PC,Main game,2017-05-29T09:36:19-07:00,2017-05-29T09:36:19-07:00,Bad,1
Infinifactory,PC,Main game,2017-05-29T14:10:10-07:00,2017-12-03T12:34:18-08:00,Awesome,5
BioShock 2 Remastered,PC,Main game,2017-06-11T13:52:27-07:00,2017-06-17T09:00:27-07:00,Good,2
Book of Demons,PC,Main game,2017-06-11T13:52:32-07:00,2017-06-11T13:52:32-07:00,Meh,1
BioShock 2: Minerva's Den Remastered,PC,DLC / Addon,2017-06-19T20:59:01-07:00,2017-06-19T20:59:01-07:00,Meh,1
BioShock Infinite,PC,Main game,2017-06-19T21:24:09-07:00,2017-06-25T12:26:43-07:00,Good,2
InfiniPicross,PC,Main game,2017-06-25T12:26:55-07:00,2017-06-25T12:26:55-07:00,Good,1
BioShock Infinite: Burial at Sea - Episode 1,PC,DLC / Addon,2017-06-26T07:21:14-07:00,2017-06-26T07:21:14-07:00,Meh,1
