Title,Platform,Type,Firstposted,Lastposted,Rating,Numposts
Radiant Historia,DS,Main game,2015-01-04T15:18:24-08:00,2015-01-04T15:18:24-08:00,Good,1
The Typing of the Dead: Overkill,PC,Main game,2015-01-04T15:36:59-08:00,2015-01-04T15:36:59-08:00,Good,1
Super Smash Bros. for Wii U,Wii U,Main game,2015-01-04T15:43:09-08:00,2015-01-04T15:43:09-08:00,Good,1
Captain Toad: Treasure Tracker,Wii U,Main game,2015-01-11T17:29:20-08:00,2015-06-23T18:33:34-07:00,Good,2
Saints Row: Gat Out of Hell,PC,Expansion,2015-01-20T21:52:24-08:00,2015-01-25T12:11:41-08:00,Good,2
Grand Theft Auto V,PC,Main game,2015-06-15T23:08:26-07:00,2015-06-15T23:08:26-07:00,Awesome,1
Particulars,PC,Main game,2015-06-22T19:09:11-07:00,2015-06-22T19:09:11-07:00,N/A,1
Batman: Arkham Knight,PC,Main game,2015-06-22T23:10:23-07:00,2015-07-19T14:56:24-07:00,Awesome,4
Valiant Hearts: The Great War,PC,Main game,2015-06-23T17:30:10-07:00,2015-09-04T14:11:05-07:00,Good,2
Letter Quest: Grimm's Journey,PC,Main game,2015-07-03T12:16:48-07:00,2015-07-03T12:16:48-07:00,Meh,1
D4: Dark Dreams Don't Die,PC,Main game,2015-07-03T19:06:53-07:00,2015-07-03T19:06:53-07:00,N/A,1
Ronin,PC,Main game,2015-07-04T10:07:28-07:00,2015-07-04T10:07:28-07:00,N/A,1
The Magic Circle,PC,Main game,2015-07-12T18:23:02-07:00,2015-07-12T18:23:02-07:00,N/A,1
Metal Gear Solid V: Ground Zeroes,PC,Standalone expansion,2015-09-06T18:56:57-07:00,2015-09-06T18:56:57-07:00,Meh,1
Oceanhorn: Monster of Uncharted Seas,PC,Main game,2015-09-22T22:40:47-07:00,2015-09-22T22:40:47-07:00,Meh,1
CastleStorm,PC,Main game,2015-10-04T11:38:26-07:00,2015-10-04T11:38:26-07:00,Good,1
Grey Goo,PC,Main game,2015-10-17T19:24:33-07:00,2015-10-17T19:24:33-07:00,Meh,1
StarCraft II: Legacy of the Void,PC,Standalone expansion,2015-11-08T12:07:50-08:00,2015-12-20T13:15:52-08:00,Good,2
TIS-100,PC,Main game,2015-11-16T21:57:10-08:00,2015-11-16T21:57:10-08:00,Awesome,1
Infinifactory,PC,Main game,2015-11-16T21:57:16-08:00,2015-11-16T21:57:16-08:00,Awesome,1
SpaceChem,PC,Main game,2015-11-28T14:24:31-08:00,2015-11-28T14:24:31-08:00,N/A,1
Assassin's Creed Rogue,PC,Main game,2015-11-28T14:24:34-08:00,2015-11-29T00:16:01-08:00,Good,2
Shadow Complex Remastered,PC,Main game,2015-12-06T11:03:42-08:00,2015-12-06T11:03:42-08:00,Good,1
Broken Age,PC,Main game,2015-12-06T20:48:04-08:00,2015-12-06T20:48:04-08:00,Good,1
Red Faction: Guerrilla,PC,Main game,2015-12-20T13:15:47-08:00,2015-12-20T13:15:47-08:00,Awesome,1
Paint it Back,PC,Main game,2015-12-26T23:08:04-08:00,2015-12-30T00:52:58-08:00,Awesome,2
SquareCells,PC,Main game,2015-12-26T23:08:09-08:00,2015-12-30T13:58:48-08:00,Meh,2
Human Resource Machine,PC,Main game,2015-12-29T20:08:35-08:00,2015-12-30T22:34:37-08:00,Good,2
Wolfenstein: The New Order,PC,Main game,2015-12-29T20:08:52-08:00,2015-12-29T20:08:52-08:00,Awesome,1
