Tag,Count
Single player,39
Main game,34
Indie,23
Adventure,23
Action,19
Fantasy,11
Platform,10
Role-playing (RPG),10
Side view,10
Third person,9
Puzzle,9
Bird view,8
Science fiction,8
Multiplayer,8
Simulator,7
Strategy,5
Nintendo,5
Open world,4
Shooter,4
Co-operative,4
DLC / Addon,4
The Legend of Zelda,3
Mystery,3
Text,3
Stealth,3
Tactical,3
Hack and slash/Beat 'em up,3
Tequila Works,2
Sony Interactive Entertainment,2
Comedy,2
505 Games,2
First person,2
Fighting,2
Surprise Attack Games,2
Team Fractal Alligator,2
Drama,2
QLOC,1
Microsoft Studios,1
Klei Entertainment,1
Massively Multiplayer Online (MMO),1
Mario Party,1
Platinum Games,1
Super Smash Bros.,1
DICO Co., Ltd.,1
Activision,1
Nintendo of Europe,1
BANDAI NAMCO Studios Inc.,1
ArtPlay,1
Morbidware,1
Chrono,1
Team 17,1
Cavalier Game Studios,1
Lunarch Studios,1
Point-and-click,1
Rusty Lake,1
Lab Zero Games,1
Transformers,1
AnukenDev,1
Turn-based strategy (TBS),1
Ciprian Stanciu,1
Headup Games,1
Fellow Traveller,1
Armature Studio,1
Six Foot,1
Capcom,1
Hollow Knight,1
Aspyr Media,1
Tantalus Media,1
Trinket Studios,1
SIE Japan Studio,1
Bundle,1
Mark of the Ninja,1
studio wasp,1
Insomniac Games,1
Acke Hallgren,1
Chance Agency,1
Reagent Games,1
WayForward Technologies Inc.,1
doinksoft,1
Inti Creates,1
Kids,1
Curve Digital,1
Historical,1
Crackdown,1
Square,1
Zachtronics,1
Samurai Punk,1
Horror,1
Sandbox,1
Holden Boyles,1
Arcade,1
Ruffian Games,1
Nintendo EPD,1
Nintendo of America,1
Pandemic Studios,1
Sumo Digital,1
Party,1
Grey Box,1
Devolver Digital,1
Adult Swim Games,1
Gearbox Software,1
Villa Gorilla,1
Warfare,1
Alice & Smith,1
Real Time Strategy (RTS),1
7A Games,1
2K,1
Sora,1
Survival,1
Cloudgine,1
Team Ico,1
Electronic Arts,1
ND Cube,1
Team Cherry,1
genDESIGN,1
Ace Attorney,1
GalaxyTrail,1
