Tag,Count
Single player,29
Main game,26
Indie,15
Action,14
Adventure,13
Science fiction,11
Puzzle,10
Multiplayer,9
Side view,8
Third person,8
Comedy,8
Shooter,6
First person,6
Strategy,6
Fantasy,6
Bird view,6
Open world,5
Simulator,4
Historical,4
Co-operative,4
Platform,4
Stealth,4
Sport,3
Sandbox,2
Educational,2
Nintendo,2
Role-playing (RPG),2
Ubisoft Entertainment,2
Zachtronics,2
Real Time Strategy (RTS),2
Thriller,2
Horror,2
Point-and-click,2
Standalone expansion,2
Volition Inc,2
Tactical,2
Warfare,1
Zachtronics Industries,1
Cornfox & Bros.,1
Ubisoft Singapore,1
Konami,1
Tomorrow Corporation,1
Ubisoft Milan,1
Ubisoft Montpellier,1
Casual Labs,1
Ubisoft Quebec,1
Deep Silver,1
1C-SoftClub,1
Metal Gear,1
Oceanhorn,1
Super Smash Bros.,1
MachineGames,1
Assassin's Creed,1
Nordic Games Publishing,1
Rocksteady Studios,1
The House of The Dead,1
Kojima Productions,1
Surprise Attack Games,1
Epic Games, Inc.,1
Hack and slash/Beat 'em up,1
Party,1
Grey Goo,1
Ubisoft Montreal,1
Bacon Bandit Games,1
Red Faction,1
Drama,1
Rockstar North,1
Batman: Arkham,1
Text,1
Survival,1
FDG Entertainment,1
StarCraft,1
Reactor Zero,1
Ubisoft Romania,1
Expansion,1
Modern Dreams,1
Access Games,1
Take-Two Interactive,1
High Voltage Software,1
Grey Box,1
Atlus USA,1
CastleStorm,1
Zen Studios,1
D4,1
SeeThrough Studios,1
Bethesda Softworks LLC,1
teedoubleu,1
Fighting,1
Sega,1
Sora,1
Question,1
Atlus,1
Wolfenstein,1
Petroglyph Games,1
Ikaron,1
BANDAI NAMCO Studios Inc.,1
Racing,1
Nintendo EAD Group No. 2,1
Matthew Brown,1
Mario,1
Devolver Digital,1
Non-fiction,1
Ubisoft Chengdu,1
Ubisoft Kiev,1
Headlock,1
Rockstar Games,1
THQ,1
Microsoft Studios,1
Saints Row,1
Ubisoft Sofia,1
ChAIR Entertainment Group,1
Split screen,1
Experimental Gameplay Group,1
Digerati Distribution,1
Double Fine Productions,1
Blizzard Entertainment,1
WB Games,1
GTA,1
