Title,Platform,Type,Firstposted,Lastposted,Rating,Numposts
Pepper's Puzzles,PC,Main game,2018-01-08T07:18:20-08:00,2018-01-08T07:18:20-08:00,Good,1
Okami HD,PC,Main game,2018-01-08T07:45:10-08:00,2018-01-08T07:45:10-08:00,Good,1
Diablo III,PC,Main game,2018-01-11T17:58:10-08:00,2018-01-11T17:58:10-08:00,Meh,1
Dark Souls: Prepare to Die Edition,PC,Main game,2018-01-12T07:42:44-08:00,2018-01-12T07:42:44-08:00,N/A,1
Opus Magnum,PC,Main game,2018-01-15T09:11:30-08:00,2018-01-15T09:11:30-08:00,Meh,1
Silicon Zeroes,PC,Main game,2018-01-20T11:51:34-08:00,2018-01-20T11:51:34-08:00,Meh,1
Escape the Game,PC,Main game,2018-01-21T18:02:22-08:00,2018-01-21T18:02:22-08:00,Meh,1
Diablo III: Reaper of Souls,PC,Expansion,2018-01-21T20:20:03-08:00,2018-01-21T20:20:03-08:00,Meh,1
The Witcher 2: Assassins of Kings Enhanced Edition,PC,Main game,2018-01-22T20:54:26-08:00,2018-04-27T20:17:23-07:00,Meh,2
The Surge,PC,Main game,2018-01-23T21:48:15-08:00,2018-01-23T21:48:15-08:00,N/A,1
Regeria Hope Episode 1,PC,Main game,2018-01-24T22:53:25-08:00,2018-01-24T22:53:25-08:00,Bad,1
Glyphs Apprentice,PC,Main game,2018-01-27T23:12:54-08:00,2018-01-27T23:12:54-08:00,N/A,1
Mandagon,PC,Main game,2018-01-28T10:46:12-08:00,2018-01-28T10:46:12-08:00,Good,1
Red Spider: Vengeance,PC,Main game,2018-01-28T13:01:35-08:00,2018-01-28T13:01:35-08:00,Meh,1
Shadow of the Colossus (2018),PS4,Main game,2018-02-07T07:32:07-08:00,2018-02-11T22:53:14-08:00,Good,2
Borderlands: The Pre-Sequel,PC,Main game,2018-02-11T23:19:31-08:00,2018-03-11T11:17:36-07:00,Good,2
Final Fantasy XV Windows Edition,PC,Main game,2018-04-28T17:02:19-07:00,2018-04-28T17:02:19-07:00,N/A,1
Borderlands: The Pre-Sequel - Claptastic Voyage,PC,DLC / Addon,2018-04-29T20:14:22-07:00,2018-04-29T20:14:22-07:00,Meh,1
The Witcher 3: Wild Hunt,PC,Main game,2018-05-14T07:29:27-07:00,2018-06-13T07:07:10-07:00,Awesome,6
The Witcher 3: Wild Hunt - Hearts of Stone,PC,Expansion,2018-06-05T07:57:27-07:00,2018-06-05T07:57:27-07:00,Awesome,1
The Witcher 3: Wild Hunt - Blood and Wine,PC,Expansion,2018-06-10T15:42:41-07:00,2018-06-10T15:42:41-07:00,Awesome,1
