Title,Platform,Type,Firstposted,Lastposted,Rating,Numposts
Assassin's Creed III,PC,Main game,2013-01-01T19:59:39-07:00,2013-01-06T16:49:46-07:00,Awesome,2
The Basement Collection,PC,Main game,2013-01-06T23:35:24-07:00,2013-01-06T23:35:24-07:00,Meh,1
Beat Hazard Ultra,PC,Main game,2013-01-07T00:01:56-07:00,2013-01-07T00:01:56-07:00,Good,1
Torchlight II,PC,Main game,2013-01-07T00:37:14-07:00,2013-01-07T00:37:14-07:00,Good,1
Borderlands 2,PC,Main game,2013-01-07T01:05:20-07:00,2013-01-07T01:05:20-07:00,Awesome,1
Mark of the Ninja,PC,Main game,2013-01-14T23:51:05-07:00,2013-01-14T23:51:05-07:00,Awesome,1
Max Payne 3,PC,Main game,2013-01-17T17:10:40-07:00,2013-01-17T17:10:40-07:00,Bad,1
Borderlands 2: Captain Scarlett and Her Pirate's Booty,PC,DLC / Addon,2013-01-26T23:37:23-07:00,2013-01-26T23:37:23-07:00,Awesome,1
Borderlands 2: Mr. Torgue's Campaign of Carnage,PC,DLC / Addon,2013-01-27T00:24:51-07:00,2013-01-30T18:38:12-07:00,Awesome,2
Sleeping Dogs: Zodiac Tournament,PC,DLC / Addon,2013-01-28T20:11:06-07:00,2013-01-28T20:11:06-07:00,Meh,1
Borderlands 2: Sir Hammerlock's Big Game Hunt,PC,DLC / Addon,2013-01-30T18:50:18-07:00,2013-01-30T18:50:18-07:00,Good,1
Antichamber,PC,Main game,2013-02-01T22:32:17-07:00,2013-02-01T22:32:17-07:00,Good,1
1000 Amps,PC,Main game,2013-02-02T16:41:36-07:00,2013-02-02T16:41:36-07:00,Good,1
Thomas Was Alone,PC,Main game,2013-02-05T03:07:30-07:00,2013-02-05T03:07:30-07:00,Awesome,1
New Super Mario Bros. U,Wii U,Main game,2013-02-21T00:11:45-07:00,2013-02-21T00:11:45-07:00,Awesome,1
Burnout Paradise,PC,Main game,2013-02-21T00:45:13-07:00,2013-03-02T19:41:33-07:00,Good,2
Tomb Raider (2013),PC,Main game,2013-03-05T01:11:25-07:00,2013-04-03T00:46:14-07:00,Awesome,2
Castlevania: Lords of Shadow - Mirror of Fate,3DS,Main game,2013-03-07T00:54:47-07:00,2013-03-07T00:54:47-07:00,N/A,1
SimTower: The Vertical Empire,PC,Main game,2013-03-16T14:49:43-07:00,2013-03-27T00:12:41-07:00,Good,2
BioShock Infinite,PC,Main game,2013-03-26T04:39:11-07:00,2013-03-26T23:52:54-07:00,Awesome,2
Analogue: A Hate Story,PC,Main game,2013-03-31T22:09:07-07:00,2013-03-31T22:09:07-07:00,Good,1
LEGO City Undercover,Wii U,Main game,2013-04-08T00:50:36-07:00,2013-04-20T08:28:22-07:00,Good,2
Binary Domain,PC,Main game,2013-04-08T20:22:02-07:00,2013-05-15T20:47:20-07:00,Bad,2
Sleeping Dogs: Wheels of Fury,PC,DLC / Addon,2013-04-27T17:26:59-07:00,2013-04-27T17:26:59-07:00,Good,1
Sleeping Dogs: Year of the Snake,PC,DLC / Addon,2013-04-29T10:50:32-07:00,2013-04-29T10:50:32-07:00,Meh,1
Fez,PC,Main game,2013-05-01T18:46:46-07:00,2013-05-03T10:32:58-07:00,Awesome,2
LEGO The Lord of the Rings,PC,Main game,2013-05-11T22:31:48-07:00,2013-05-30T09:07:27-07:00,Awesome,3
Super Mario 3D Land,3DS,Main game,2013-05-15T22:55:10-07:00,2013-05-15T22:55:10-07:00,Good,1
Alan Wake,PC,Main game,2013-05-16T14:35:18-07:00,2013-05-16T14:35:18-07:00,Meh,1
Viking: Battle for Asgard,PC,Main game,2013-05-18T15:29:17-07:00,2013-05-19T17:57:03-07:00,Bad,2
Assassin's Creed III: The Tyranny of King Washington - The Infamy,PC,DLC / Addon,2013-05-21T15:58:22-07:00,2013-05-21T15:58:22-07:00,Good,1
StarCraft II: Heart of the Swarm,PC,Standalone expansion,2013-05-22T00:03:44-07:00,2013-06-05T13:30:12-07:00,Good,4
Assassin's Creed III: The Tyranny of King Washington - The Betrayal,PC,DLC / Addon,2013-05-24T19:39:00-07:00,2013-05-24T19:39:00-07:00,Meh,1
Assassin's Creed III: The Tyranny of King Washington - The Redemption,PC,DLC / Addon,2013-05-25T06:42:20-07:00,2013-05-25T06:42:20-07:00,Good,1
Costume Quest,PC,Main game,2013-05-30T23:30:21-07:00,2013-05-30T23:30:21-07:00,Meh,1
Quantum Conundrum,PC,Main game,2013-05-31T15:46:08-07:00,2013-06-05T19:06:45-07:00,Meh,2
Monaco: What's Yours Is Mine,PC,Main game,2013-06-01T15:16:42-07:00,2013-06-05T21:36:09-07:00,Meh,2
LEGO Batman 2: DC Super Heroes,PC,Main game,2013-06-01T15:40:41-07:00,2013-06-12T00:22:01-07:00,Good,2
Far Cry 3: Blood Dragon,PC,Standalone expansion,2013-06-05T01:58:48-07:00,2013-06-05T16:43:29-07:00,Good,2
The Walking Dead,PC,Main game,2013-06-06T02:14:03-07:00,2013-06-06T02:14:03-07:00,Bad,1
Mafia II,PC,Main game,2013-06-07T15:32:16-07:00,2013-06-07T15:32:16-07:00,N/A,1
Darksiders II,PC,Main game,2013-06-07T22:17:08-07:00,2013-08-06T00:00:55-07:00,N/A,2
Anodyne,PC,Main game,2013-06-11T01:14:32-07:00,2013-06-11T15:39:31-07:00,Good,2
Crusader Kings II,PC,Main game,2013-06-17T19:37:54-07:00,2013-06-17T19:37:54-07:00,N/A,1
Just Cause 2,PC,Main game,2013-06-17T20:15:42-07:00,2013-06-17T20:15:42-07:00,N/A,1
Magicka: The Stars are Left,PC,DLC / Addon,2013-06-17T21:15:52-07:00,2013-06-17T21:15:52-07:00,N/A,1
Sniper: Ghost Warrior,PC,Main game,2013-06-17T21:41:37-07:00,2013-06-17T21:41:37-07:00,N/A,1
Tomb Raider: Legend,PC,Main game,2013-06-18T22:48:08-07:00,2013-06-18T22:48:08-07:00,N/A,1
Organ Trail: Director's Cut,PC,Main game,2013-06-18T23:24:34-07:00,2013-06-18T23:24:34-07:00,Good,1
Stealth Bastard Deluxe,PC,Main game,2013-06-20T01:27:42-07:00,2013-06-20T01:27:42-07:00,Good,1
Alice: Madness Returns,PC,Main game,2013-06-20T14:15:01-07:00,2013-06-20T14:15:01-07:00,Meh,1
The Darkness II,PC,Main game,2013-06-21T02:32:08-07:00,2013-06-21T02:32:08-07:00,Meh,1
Blocks That Matter,PC,Main game,2013-06-23T22:59:45-07:00,2013-06-23T22:59:45-07:00,Meh,1
Closure,PC,Main game,2013-06-25T15:43:38-07:00,2013-07-25T00:21:00-07:00,Good,2
Little Inferno,PC,Main game,2013-06-26T00:03:54-07:00,2013-06-26T00:03:54-07:00,Meh,1
DLC Quest,PC,Main game,2013-06-26T14:50:27-07:00,2013-06-26T14:50:27-07:00,Meh,1
McPixel,PC,Main game,2013-06-26T15:45:52-07:00,2013-06-26T15:45:52-07:00,Awful,1
Offspring Fling!,PC,Main game,2013-06-27T15:16:03-07:00,2013-06-27T18:58:04-07:00,Good,2
FTL: Faster Than Light,PC,Main game,2013-06-27T23:21:55-07:00,2013-06-27T23:21:55-07:00,Meh,1
Trine 2,PC,Main game,2013-06-28T12:38:44-07:00,2013-06-28T12:38:44-07:00,Good,1
Proteus,PC,Main game,2013-06-29T12:09:30-07:00,2013-06-29T12:09:30-07:00,Awful,1
Dynamite Jack,PC,Main game,2013-06-29T12:48:10-07:00,2013-06-29T12:48:10-07:00,Meh,1
No Time To Explain,PC,Main game,2013-06-30T12:16:58-07:00,2013-06-30T12:16:58-07:00,Good,1
Puzzle Agent,PC,Main game,2013-06-30T14:27:12-07:00,2013-06-30T14:27:12-07:00,N/A,1
Unmechanical,PC,Main game,2013-06-30T17:55:11-07:00,2013-06-30T17:55:11-07:00,Good,1
Oil Rush,PC,Main game,2013-06-30T20:04:05-07:00,2013-06-30T20:04:05-07:00,Bad,1
Sid Meier's Civilization V: Brave New World,PC,Expansion,2013-07-12T01:04:28-07:00,2013-07-12T01:04:28-07:00,Good,1
Call of Juarez: Gunslinger,PC,Main game,2013-07-20T13:11:19-07:00,2013-07-23T00:14:10-07:00,Awesome,2
Mercenary Kings,PC,Main game,2013-07-20T21:25:26-07:00,2013-08-18T01:18:52-07:00,Awesome,3
Luminesca,PC,Main game,2013-07-27T14:11:51-07:00,2013-07-27T14:11:51-07:00,Meh,1
The Bridge,PC,Main game,2013-07-27T16:23:43-07:00,2013-07-27T16:23:43-07:00,Meh,1
Starseed Pilgrim,PC,Main game,2013-07-27T17:04:35-07:00,2013-07-27T17:04:35-07:00,N/A,1
Gunpoint,PC,Main game,2013-07-28T17:52:03-07:00,2013-07-28T17:52:03-07:00,Awesome,1
Picross e,3DS,Main game,2013-08-05T23:34:46-07:00,2013-09-07T12:20:20-07:00,Meh,2
The Wonderful 101,Wii U,Main game,2013-08-13T08:19:45-07:00,2013-08-13T08:19:45-07:00,N/A,1
Saints Row IV,PC,Main game,2013-09-06T01:03:09-07:00,2013-09-06T01:03:09-07:00,Awesome,1
Grand Theft Auto V,Xbox 360,Main game,2013-09-20T01:37:53-07:00,2013-10-24T08:45:50-07:00,Awesome,3
The Legend of Zelda: The Wind Waker HD,Wii U,Main game,2013-10-24T08:49:03-07:00,2013-11-10T14:58:45-07:00,Awesome,2
LEGO Marvel Super Heroes,PC,Main game,2013-11-12T00:51:40-07:00,2013-11-24T22:15:39-07:00,Good,2
BioShock Infinite: Burial at Sea - Episode 1,PC,DLC / Addon,2013-11-13T23:17:01-07:00,2013-11-13T23:17:01-07:00,Meh,1
Super Mario 3D World,Wii U,Main game,2013-11-24T22:45:02-07:00,2013-12-14T17:14:06-07:00,Awesome,2
Phoenix Wright: Ace Attorney - Dual Destinies,3DS,Main game,2013-12-01T17:00:07-07:00,2013-12-12T02:20:43-07:00,Awesome,2
Kairo,PC,Main game,2013-12-01T17:21:47-07:00,2013-12-01T17:21:47-07:00,Meh,1
Phoenix Wright: Ace Attorney - Dual Destinies - Turnabout Reclaimed,3DS,DLC / Addon,2013-12-16T00:26:05-07:00,2013-12-16T00:26:05-07:00,Good,1
Batman: Arkham Origins,PC,Main game,2013-12-22T00:36:53-07:00,2013-12-22T23:36:19-08:00,Good,2
The Legend of Zelda: A Link Between Worlds,3DS,Main game,2013-12-30T14:47:50-08:00,2013-12-30T14:47:50-08:00,Awesome,1
Adventure Time: Hey Ice King! Why'd You Steal Our Garbage?!,3DS,Main game,2013-12-31T13:15:00-08:00,2013-12-31T13:15:00-08:00,Meh,1
