Title,Platform,Type,Firstposted,Lastposted,Rating,Numposts
Saints Row IV - Enter the Dominatrix,PC,DLC / Addon,2014-01-12T18:13:11-08:00,2014-01-12T18:13:11-08:00,Meh,1
Saints Row IV - How the Saints Save Christmas,PC,DLC / Addon,2014-01-12T18:44:00-08:00,2014-01-12T18:44:00-08:00,Good,1
Super Mario 3D World,Wii U,Main game,2014-01-12T20:15:25-08:00,2014-01-12T20:15:25-08:00,Awesome,1
Metal Gear Rising: Revengeance,PC,Main game,2014-01-12T20:47:29-08:00,2014-01-12T20:47:29-08:00,Good,1
Stealth Bastard Deluxe,PC,Main game,2014-01-19T19:03:47-08:00,2014-01-19T19:03:47-08:00,Awesome,1
Clickr,PC,Main game,2014-01-25T12:20:53-08:00,2014-01-25T12:20:53-08:00,Bad,1
Mark of the Ninja: Special Edition,PC,DLC / Addon,2014-01-25T15:40:48-08:00,2014-01-25T15:40:48-08:00,Meh,1
Borderlands 2: Tiny Tina's Assault on Dragon Keep,PC,DLC / Addon,2014-01-26T01:10:23-08:00,2014-01-26T01:10:23-08:00,Awesome,1
Brothers: A Tale of Two Sons,PC,Main game,2014-01-26T16:45:52-08:00,2014-01-26T16:45:52-08:00,Good,1
Foul Play,PC,Main game,2014-01-26T18:19:44-08:00,2014-01-26T18:19:44-08:00,Meh,1
Journey,PS3,Main game,2014-01-28T23:21:11-08:00,2014-01-28T23:21:11-08:00,Meh,1
EPOCH (2014),Android,Main game,2014-02-04T22:12:53-08:00,2014-02-04T22:12:53-08:00,Meh,1
10000000,Android,Main game,2014-02-04T22:32:24-08:00,2014-02-04T22:32:24-08:00,Bad,1
The LEGO Movie Videogame,PC,Main game,2014-03-15T13:24:41-07:00,2014-03-15T13:24:41-07:00,Good,1
Broken Age,PC,Main game,2014-03-15T13:52:10-07:00,2014-03-15T13:52:10-07:00,Awesome,1
Donkey Kong Country: Tropical Freeze,Wii U,Main game,2014-03-15T14:05:46-07:00,2014-03-15T14:05:46-07:00,N/A,1
The Cave,PC,Main game,2014-04-26T15:13:45-07:00,2014-04-26T15:13:45-07:00,Meh,1
Sonic &amp; All-Stars Racing Transformed,PC,Main game,2014-04-26T15:39:58-07:00,2014-04-26T15:39:58-07:00,Awful,1
Euro Truck Simulator 2,PC,Main game,2014-04-26T16:11:15-07:00,2014-04-26T16:11:15-07:00,N/A,1
Broforce,PC,Main game,2014-04-26T19:04:26-07:00,2014-04-26T19:04:26-07:00,Good,1
Diablo III,PC,Main game,2014-04-26T19:35:32-07:00,2014-04-26T19:35:32-07:00,Good,1
BioShock Infinite: Burial at Sea - Episode 2,PC,DLC / Addon,2014-04-27T19:04:24-07:00,2014-04-27T19:04:24-07:00,Awesome,1
WildStar,PC,Main game,2014-05-11T12:13:31-07:00,2014-05-11T12:13:31-07:00,N/A,1
Watch Dogs,PC,Main game,2014-05-27T19:45:14-07:00,2014-06-16T18:31:08-07:00,N/A,3
Assassin's Creed IV: Black Flag,PC,Main game,2014-06-04T21:52:36-07:00,2014-06-04T21:52:36-07:00,Awesome,1
Mario Kart 8,Wii U,Main game,2014-06-04T22:07:45-07:00,2014-06-04T22:07:45-07:00,Good,1
Far Cry 3,PC,Main game,2014-06-15T21:56:27-07:00,2014-06-15T21:56:27-07:00,Meh,1
Mercenary Kings,PC,Main game,2014-06-15T23:47:44-07:00,2014-06-15T23:47:44-07:00,Awesome,1
Mirror's Edge,PC,Main game,2014-06-17T19:24:09-07:00,2014-06-17T19:24:09-07:00,Meh,1
Greed Corp,PC,Main game,2014-06-17T23:09:36-07:00,2014-07-24T21:04:07-07:00,Good,2
Adventure Time: Explore the Dungeon Because I Don't Know!,3DS,Main game,2014-06-21T14:42:23-07:00,2014-06-21T14:42:23-07:00,Awful,1
LYNE,PC,Main game,2014-06-29T13:26:07-07:00,2014-06-29T13:26:07-07:00,Meh,1
Retro/Grade,PC,Main game,2014-06-29T13:43:12-07:00,2014-06-29T13:43:12-07:00,Meh,1
Adventure Time: Finn and Jake's Epic Quest,PC,Main game,2014-06-29T15:45:09-07:00,2014-06-29T15:45:09-07:00,Bad,1
Cloudbuilt,PC,Main game,2014-06-29T17:54:37-07:00,2014-06-29T17:54:37-07:00,N/A,1
Deadlight,PC,Main game,2014-06-29T22:49:15-07:00,2014-06-29T22:49:15-07:00,Meh,1
Defender's Quest: Valley of the Forgotten,PC,Main game,2014-07-02T23:31:20-07:00,2014-07-02T23:31:20-07:00,Good,1
