Tag,Count
Single player,57
Main game,50
Adventure,34
Action,34
Indie,26
Role-playing (RPG),25
Fantasy,21
Third person,21
Science fiction,14
Open world,11
Shooter,10
Platform,10
Puzzle,9
Co-operative,9
Multiplayer,8
First person,8
Square Enix,7
Comedy,7
Bird view,7
Side view,6
Hack and slash/Beat 'em up,5
Horror,5
CD Projekt RED,5
DLC / Addon,4
Expansion,4
The Witcher,4
Survival,4
Simulator,3
Historical,3
Sony Interactive Entertainment,3
Strategy,3
Matthew Brown,3
Konstructors Entertainment,2
Sandbox,2
Blizzard Entertainment,2
Fighting,2
Stealth,2
Guerrilla Games,2
Crystal Dynamics,2
Borderlands,2
Virtual Reality,2
Take-Two Interactive,2
Diablo,2
Warfare,2
Volition Inc,2
WB Games,2
Gearbox Software,2
Deus Ex,2
Valve Corporation,1
Bethesda Softworks LLC,1
Final Fantasy,1
Standalone expansion,1
Ōkami,1
Drama,1
Momodora,1
Somnium Games d.o.o.,1
Esoterics,1
Capcom Co., Ltd.,1
SIE Santa Monica Studio,1
Deck 13,1
Portal,1
Big Deez Productions,1
Bombservice,1
Sport,1
Text,1
Bluepoint Games,1
Monolith Productions,1
Fighting Fantasy,1
Cygames,1
Spike ChunSoft,1
FromSoftware,1
Electronic Arts,1
Nintendo,1
Zachtronics,1
Tin Man Games,1
Konami,1
Wired Productions,1
Deep Silver,1
Focus Home Interactive,1
Insanity Games,1
Arkane Studios,1
Deck13 Interactive,1
Middle-earth,1
Daedalic Entertainment,1
Saber Interactive,1
Arcade,1
AGM Playism,1
Split screen,1
Lunar Ray Games,1
Radical Fish Games,1
Bandai Namco Entertainment,1
cdp.pl,1
God of War,1
Sony Computer Entertainment, Inc. (SCEI),1
Deck13,1
Dark Souls,1
Tomb Raider,1
Platinum Games,1
Paper Mario,1
Microsoft Studios,1
Gwent,1
1C Company,1
Paper Castle Media,1
The Surge,1
Blind Sky Studios,1
2K Games,1
2K Australia,1
Prey,1
Intelligent Systems Co., Ltd.,1
Shaq Fu,1
Starbreeze Studios,1
Clover Studio,1
Namco Bandai Games,1
THQ Nordic,1
Bit Kid, Inc.,1
Feral Interactive,1
Red Faction,1
CD Projekt,1
Forgotten Key,1
Agents of Mayhem,1
Educational,1
Zone of the Enders,1
WhisperGames,1
Eidos Montréal,1
Rise of the Tomb Raider,1
Tuesday Quest,1
Sega,1
Dominique Grieshofer,1
Erotic,1
Chucklefish Games,1
Dragon Age,1
BioWare,1
Vanpool,1
