Title,Platform,Type,Firstposted,Lastposted,Rating,Numposts
"Valdis Story: Abyssal City",PC,Main game,2021-01-01T09:25:44-08:00,2021-01-01T09:25:44-08:00,Meh,1
"Cave Story+",PC,Remake,2021-01-03T22:28:20-08:00,2021-01-03T22:28:20-08:00,Meh,1
"Iron Brigade",PC,Main game,2021-01-06T21:07:01-08:00,2021-01-06T21:07:01-08:00,Meh,1
"Overlord II",PC,Main game,2021-01-09T11:22:36-08:00,2021-01-09T11:22:36-08:00,N/A,1
"Cthulhu Saves the World",PC,Main game,2021-01-09T11:44:18-08:00,2021-01-09T11:44:18-08:00,Bad,1
"Might &amp; Magic: Clash of Heroes",PC,Main game,2021-01-10T00:45:40-08:00,2021-01-10T00:45:40-08:00,Meh,1
"Pid",PC,Main game,2021-01-10T11:42:28-08:00,2021-01-10T11:42:28-08:00,Meh,1
"Vampire: The Masquerade - Bloodlines",PC,Main game,2021-01-20T20:38:22-08:00,2021-01-20T20:38:22-08:00,Good,1
"Voxelgram",PC,Main game,2021-01-20T20:59:25-08:00,2021-01-20T20:59:25-08:00,Awesome,1
"Space Pirates and Zombies",PC,Main game,2021-01-23T17:11:48-08:00,2021-01-23T17:11:48-08:00,Meh,1
"NERTS! Online",PC,Main game,2021-01-24T09:25:30-08:00,2021-01-24T09:25:30-08:00,Good,1
"Penny Arcade's On the Rain-Slick Precipice of Darkness 3",PC,Main game,2021-01-27T22:38:22-08:00,2021-01-27T22:38:22-08:00,Good,1
"Eliza (2019)",PC,Main game,2021-01-30T23:24:27-08:00,2021-01-30T23:24:27-08:00,Good,1
"Copy Editor",PC,Main game,2021-02-06T10:04:41-08:00,2021-02-06T10:04:41-08:00,Awful,1
"Hell Yeah! Wrath of the Dead Rabbit",PC,Main game,2021-02-13T09:07:42-08:00,2021-02-13T09:07:42-08:00,Meh,1
"Darksiders II",PC,Main game,2021-02-13T13:52:39-08:00,2021-02-13T13:52:39-08:00,Meh,1
"Penny Arcade's On the Rain-Slick Precipice of Darkness 4",PC,Main game,2021-02-15T16:20:57-08:00,2021-02-15T16:20:57-08:00,Meh,1
"LEGO The Hobbit",PC,Main game,2021-03-03T13:50:35-08:00,2021-03-03T13:50:35-08:00,Good,1
"Shadowrun Returns",PC,Main game,2021-03-06T16:38:25-08:00,2021-03-06T16:38:25-08:00,Good,1
"Regex Crossword",PC,Main game,2021-03-14T18:24:26-07:00,2021-03-14T18:24:26-07:00,Good,1
"Outland",PC,Main game,2021-03-14T22:04:39-07:00,2021-03-14T22:04:39-07:00,Meh,1
"Shadowrun: Dragonfall - Director's Cut",PC,Standalone expansion,2021-04-03T14:42:46-07:00,2021-04-03T14:42:46-07:00,Good,1
"Shadowrun: Hong Kong - Extended Edition",PC,Expanded Game,2021-04-13T21:50:25-07:00,2021-04-13T21:50:25-07:00,Good,1
"Deadly Premonition: Director's Cut",PC,Expanded Game,2021-04-15T08:29:33-07:00,2021-04-15T08:29:33-07:00,Awful,1
"Shadow Blade: Reload",PC,Main game,2021-04-16T23:31:55-07:00,2021-04-16T23:31:55-07:00,N/A,1
"Trine 3: The Artifacts of Power",PC,Main game,2021-04-17T19:35:14-07:00,2021-04-17T19:35:14-07:00,N/A,1
"Super Time Force Ultra",PC,Expanded Game,2021-04-18T12:26:43-07:00,2021-04-18T12:26:43-07:00,Meh,1
"Kentucky Route Zero",PC,Main game,2021-05-11T21:27:33-07:00,2021-05-11T21:27:33-07:00,Bad,1
"The Talos Principle",PC,Main game,2021-05-16T14:35:30-07:00,2021-05-16T14:35:30-07:00,Awesome,1
"SUPERHOT",PC,Main game,2021-05-16T21:46:43-07:00,2021-05-16T21:46:43-07:00,Good,1
"Mass Effect",PC,Main game,2021-05-29T13:35:18-07:00,2021-05-29T13:35:18-07:00,Good,1
"Mass Effect: Bring Down the Sky",PC,DLC / Addon,2021-05-29T13:49:40-07:00,2021-05-29T13:49:40-07:00,Meh,1
"Mass Effect 2",PC,Main game,2021-06-27T20:37:11-07:00,2021-06-27T20:37:11-07:00,Awesome,1
"Mass Effect 2: Zaeed - The Price of Revenge",PC,DLC / Addon,2021-06-27T21:05:51-07:00,2021-06-27T21:05:51-07:00,Meh,1
"Mass Effect 2: Kasumi - Stolen Memory",PC,DLC / Addon,2021-06-27T21:39:01-07:00,2021-06-27T21:39:01-07:00,Meh,1
